iter	Passed	Remaining
725	3725	363726	3726	363727	361	135
728	361	134
729	362	134
730	363	133
731	363	133
732	364	132
733	364	132
734	365	131
735	365	131
736	366	130
737	366	130
738	367	129
739	367	129
740	367	128
741	368	128
742	368	127
743	369	127
744	369	126
745	370	126
746	370	125
747	371	125
748	371	124
749	372	124
750	372	123
751	373	123
752	373	122
753	374	122
754	374	121
755	374	121
756	375	120
757	375	119
758	376	119
759	376	118
760	377	118
761	377	117
762	378	117
763	378	116
764	379	116
765	379	115
766	380	115
767	380	114
768	381	114
769	381	113
770	381	113
771	382	112
772	382	112
773	383	111
774	383	111
775	384	110
776	384	110
777	385	109
778	385	109
779	3779	388780	386	108
781	387	107
782	387	107
783	388	106
784	388	106
785	389	105
786	389	105
787	3787	392788	390	104
789	3789	393790	391	103
791	391	102
792	392	102
793	392	101
794	393	101
795	393	100
796	394	100
797	3797	39798	39798	3799	395799	800	396800	801	396	97
802	396	97
803	397	96
804	397	96
805	398	95
806	398	95
807	399	94
808	399	94
809	400	93
810	400	93
811	401	92
812	401	92
813	402	91
814	402	91
815	403	90
816	403	90
817	404	89
818	404	89
819	405	88
820	405	88
821	406	87
822	406	87
823	407	86
824	407	86
825	407	85
826	408	85
827	408	84
828	409	84
829	409	83
830	410	83
831	410	82
832	411	82
833	411	81
834	412	81
835	412	80
836	413	80
837	413	79
838	414	79
839	414	78
840	415	78
841	415	77
842	416	77
843	416	76
844	416	76
845	417	75
846	417	75
847	418	74
848	418	74
849	419	73
850	419	73
851	420	72
852	420	72
853	421	72
854	421	71
855	422	71
856	422	70
857	423	70
858	423	69
859	423	69
860	424	68
861	424	68
862	425	67
863	425	67
864	426	66
865	426	66
866	427	65
867	427	65
868	428	64
869	428	64
870	429	63
871	429	63
872	430	62
873	430	62
874	431	61
875	431	61
876	432	60
877	432	60
878	433	59
879	433	59
880	434	58
881	434	58
882	435	57
883	435	57
884	436	56
885	436	56
886	437	55
887	437	55
888	437	54
889	438	54
890	438	53
891	439	53
892	439892	893	440	52
894	440	51
895	441	51
896	441896	897	442897	898	442898	899	442899	900	443900	901	443901	902	444	47
903	445	47
904	445	46
905	445	46
906	446	45
907	446	45
908	447	44
909	447	44
910	448	43
911	448	43
912	449	42
913	449913	914	450	41
915	450915	916	451916	917	451	40
918	452918	919	452	39
920	453920	921	453921	922	454	37
923	454	37
924	455	36
925	455	36
926	456	35
927	456	35
928	457	34
929	457	34
930	458	33
931	458931	932	459932	933	459	32
934	460934	935	460935	936	461936	937	461937	938	461938	939	462939	940	462940	941	463941	942	463942	943	464943	944	464	27
945	465	26
946	465	26
947	466	25
948	466	25
949	467	24
950	467	24
951	468	23
952	468	23
953	469	22
954	469	22
955	470	21
956	470	21
957	471	20
958	471	20
959	472	19
960	472	19
961	473	18
962	473	18
963	473	17
964	474	17
965	474	16
966	475	16
967	475	15
968	476	15
969	476	14
970	477	14
971	477	13
972	478	13
973	478	12
974	479	12
975	479	11
976	480976	977	480977	978	480978	979	481979980	481980981	482981982	482982983	483983984	483	7
985	484	6
986	484	6
987	485987988	485988989	486989990	486	4
991	487	3
992	487	3
993	488	2
994	488	2
995	488	1
996	489996997	489	0
998	490	0
999	490	0
	493	0
